"Region","Farm","site_ID","treatment","Plot","day","ent","pod","sym","neel","orb_a","orb_j","meso_a","meso_j","prostig","astig","ot_mites","c_lav","dip_lar","hymen","pot","prot","symph","arach","chil","coleop","gast","wood","hemip","cater","dip","thy","earth","Total.Soil","Total.All","BC_meanC_all","BC_meanC_soil","community_all","community_soil"
"Border",1,"Border1","Control","C1",0,4,6,5,0,2,0,3,1,2,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,29,34,0.386018237082067,0.368821292775665,"Border1.C1.0","Border1.C1.0"
"Border",1,"Border1","Control","C2",0,1,0,1,0,3,1,3,0,0,1,12,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,1,22,30,0.34185303514377,0.370212765957447,"Border1.C2.0","Border1.C2.0"
"Border",1,"Border1","Control","C3",0,10,0,1,0,0,0,2,1,4,0,53,1,0,1,10,0,0,0,0,0,0,0,0,0,0,9,0,71,92,0.42602495543672,0.438515081206497,"Border1.C3.0","Border1.C3.0"
"Border",1,"Border1","Control","C4",0,4,1,2,0,1,0,1,6,5,1,4,0,1,3,5,0,0,0,0,0,0,0,0,0,0,1,2,25,37,0.378299120234604,0.408906882591093,"Border1.C4.0","Border1.C4.0"
"Border",1,"Border1","Drought","D1",0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0.755656108597285,0.730994152046784,"Border1.D1.0","Border1.D1.0"
"Border",1,"Border1","Drought","D2",0,1,0,0,0,4,0,4,0,2,4,4,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,19,31,0.634069400630915,0.596412556053812,"Border1.D2.0","Border1.D2.0"
"Border",1,"Border1","Drought","D3",0,0,0,0,0,0,0,4,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,21,0.602888086642599,0.594202898550725,"Border1.D3.0","Border1.D3.0"
"Border",1,"Border1","Drought","D4",0,2,1,0,0,2,1,1,0,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,28,0.488524590163934,0.446808510638298,"Border1.D4.0","Border1.D4.0"
"Border",1,"Border1","Control","C1",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border1.C1.32","Border1.C1.32"
"Border",1,"Border1","Control","C2",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border1.C2.32","Border1.C2.32"
"Border",1,"Border1","Control","C3",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border1.C3.32","Border1.C3.32"
"Border",1,"Border1","Control","C4",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border1.C4.32","Border1.C4.32"
"Border",1,"Border1","Drought","D1",32,5,3,14,0,2,2,0,13,4,2,11,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,4,56,68,NA,NA,"Border1.D1.32","Border1.D1.32"
"Border",1,"Border1","Drought","D2",32,5,1,11,0,2,0,1,1,16,11,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,50,52,NA,NA,"Border1.D2.32","Border1.D2.32"
"Border",1,"Border1","Drought","D3",32,6,8,9,0,3,0,2,11,18,15,15,0,9,0,5,0,0,0,0,0,0,0,0,0,0,1,1,87,103,NA,NA,"Border1.D3.32","Border1.D3.32"
"Border",1,"Border1","Drought","D4",32,84,11,18,0,0,0,0,3,5,5,19,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,0,145,152,NA,NA,"Border1.D4.32","Border1.D4.32"
"Border",1,"Border1","Control","C1",64,1,3,2,0,0,1,0,1,1,1,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0.272727272727273,0.171171171171171,"Border1.C1.64","Border1.C1.64"
"Border",1,"Border1","Control","C2",64,0,5,0,0,0,1,0,2,2,0,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,17,20,0.36,0.321739130434783,"Border1.C2.64","Border1.C2.64"
"Border",1,"Border1","Control","C3",64,0,3,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,19,0.424657534246575,0.264367816091954,"Border1.C3.64","Border1.C3.64"
"Border",1,"Border1","Control","C4",64,1,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,4,10,0.581818181818182,0.777777777777778,"Border1.C4.64","Border1.C4.64"
"Border",1,"Border1","Drought","D1",64,0,8,4,0,2,0,0,1,2,0,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,0,19,30,0.578947368421053,0.544715447154472,"Border1.D1.64","Border1.D1.64"
"Border",1,"Border1","Drought","D2",64,0,4,1,0,0,1,0,1,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0.4,0.28735632183908,"Border1.D2.64","Border1.D2.64"
"Border",1,"Border1","Drought","D3",64,0,9,2,0,1,0,0,0,0,3,1,0,0,1,4,0,0,0,0,0,0,0,5,0,0,1,0,16,27,0.651685393258427,0.621621621621622,"Border1.D3.64","Border1.D3.64"
"Border",1,"Border1","Drought","D4",64,0,0,0,0,8,2,1,2,2,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,26,29,0.602150537634409,0.615894039735099,"Border1.D4.64","Border1.D4.64"
"Border",2,"Border2","Control","C1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.555555555555556,0.529411764705882,"Border2.C1.0","Border2.C1.0"
"Border",2,"Border2","Control","C2",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0.4,0.36,"Border2.C2.0","Border2.C2.0"
"Border",2,"Border2","Control","C3",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.727272727272727,0.714285714285714,"Border2.C3.0","Border2.C3.0"
"Border",2,"Border2","Control","C4",0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.380952380952381,0.365853658536585,"Border2.C4.0","Border2.C4.0"
"Border",2,"Border2","Drought","D1",0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.736842105263158,0.72972972972973,"Border2.D1.0","Border2.D1.0"
"Border",2,"Border2","Drought","D2",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.384615384615385,0.36,"Border2.D2.0","Border2.D2.0"
"Border",2,"Border2","Drought","D3",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.272727272727273,0.238095238095238,"Border2.D3.0","Border2.D3.0"
"Border",2,"Border2","Drought","D4",0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0.705882352941177,0.68,"Border2.D4.0","Border2.D4.0"
"Border",2,"Border2","Control","C1",32,33,11,3,0,1,6,4,29,2,11,8,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,2,108,116,0.134042553191489,0.108571428571429,"Border2.C1.32","Border2.C1.32"
"Border",2,"Border2","Control","C2",32,14,26,1,0,0,8,4,4,0,1,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,74,77,0.395408163265306,0.385656292286874,"Border2.C2.32","Border2.C2.32"
"Border",2,"Border2","Control","C3",32,22,5,5,0,0,15,5,27,0,4,8,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,91,98,0.228110599078341,0.214374225526642,"Border2.C3.32","Border2.C3.32"
"Border",2,"Border2","Control","C4",32,59,13,24,0,0,4,3,32,1,22,12,0,0,7,1,0,0,0,0,0,0,0,0,0,0,6,1,170,185,0.276315789473684,0.255565449688335,"Border2.C4.32","Border2.C4.32"
"Border",2,"Border2","Drought","D1",32,0,5,1,0,1,1,4,22,0,0,4,2,0,0,4,0,0,0,0,1,0,0,3,0,0,0,1,38,49,0.505952380952381,0.499159663865546,"Border2.D1.32","Border2.D1.32"
"Border",2,"Border2","Drought","D2",32,28,35,56,0,0,0,3,33,1,4,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,178,181,0.375,0.364502164502164,"Border2.D2.32","Border2.D2.32"
"Border",2,"Border2","Drought","D3",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border2.D3.32","Border2.D3.32"
"Border",2,"Border2","Drought","D4",32,42,10,11,0,0,8,4,4,1,5,23,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,108,112,0.246753246753247,0.241142857142857,"Border2.D4.32","Border2.D4.32"
"Border",2,"Border2","Control","C1",64,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,6,10,0.443298969072165,0.416666666666667,"Border2.C1.64","Border2.C1.64"
"Border",2,"Border2","Control","C2",64,1,0,1,0,1,5,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,19,0.323308270676692,0.275862068965517,"Border2.C2.64","Border2.C2.64"
"Border",2,"Border2","Control","C3",64,0,2,0,0,0,6,0,2,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0.392,0.326923076923077,"Border2.C3.64","Border2.C3.64"
"Border",2,"Border2","Control","C4",64,2,0,1,0,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.504950495049505,0.456521739130435,"Border2.C4.64","Border2.C4.64"
"Border",2,"Border2","Drought","D1",64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0.797101449275362,0.846153846153846,"Border2.D1.64","Border2.D1.64"
"Border",2,"Border2","Drought","D2",64,1,1,0,0,0,0,0,3,0,5,18,0,1,0,4,0,0,0,0,0,0,0,2,0,0,1,0,28,36,0.641791044776119,0.6125,"Border2.D2.64","Border2.D2.64"
"Border",2,"Border2","Drought","D3",64,2,1,0,0,0,1,0,4,0,7,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,1,1,16,25,0.503184713375796,0.446428571428571,"Border2.D3.64","Border2.D3.64"
"Border",2,"Border2","Drought","D4",64,4,1,0,0,0,2,0,2,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,12,16,0.454545454545455,0.395833333333333,"Border2.D4.64","Border2.D4.64"
"Border",3,"Border3","Control","C1",0,11,3,8,0,6,0,5,3,4,0,6,2,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,46,55,0.398601398601399,0.346846846846847,"Border3.C1.0","Border3.C1.0"
"Border",3,"Border3","Control","C2",0,12,4,2,0,0,0,2,6,2,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,2,29,39,0.433070866141732,0.382978723404255,"Border3.C2.0","Border3.C2.0"
"Border",3,"Border3","Control","C3",0,67,12,5,0,1,1,13,7,4,0,6,1,0,2,3,0,0,0,0,1,0,0,10,0,0,2,1,116,136,0.305803571428571,0.290055248618785,"Border3.C3.0","Border3.C3.0"
"Border",3,"Border3","Control","C4",0,29,9,1,0,0,1,6,12,6,0,5,1,33,0,2,0,0,0,0,1,0,0,14,0,0,0,2,69,122,0.25,0.119402985074627,"Border3.C4.0","Border3.C4.0"
"Border",3,"Border3","Drought","D1",0,4,11,0,0,1,0,9,19,35,87,10,2,0,0,0,0,0,1,0,3,0,0,2,0,1,2,0,176,187,0.721818181818182,0.717842323651452,"Border3.D1.0","Border3.D1.0"
"Border",3,"Border3","Drought","D2",0,0,9,1,0,0,0,0,13,13,40,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,82,84,0.703488372093023,0.680272108843537,"Border3.D2.0","Border3.D2.0"
"Border",3,"Border3","Drought","D3",0,8,0,1,0,0,0,6,17,24,14,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,77,0.606060606060606,0.564285714285714,"Border3.D3.0","Border3.D3.0"
"Border",3,"Border3","Drought","D4",0,0,8,0,0,0,3,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,21,0.678899082568807,0.611764705882353,"Border3.D4.0","Border3.D4.0"
"Border",3,"Border3","Control","C1",32,17,12,16,0,2,0,7,9,6,3,3,0,0,0,3,0,0,0,0,0,0,0,28,0,0,0,0,75,106,0.319760479041916,0.255742725880551,"Border3.C1.32","Border3.C1.32"
"Border",3,"Border3","Control","C2",32,40,13,20,0,0,0,3,25,1,0,9,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,111,120,0.221099887766554,0.196988707653701,"Border3.C2.32","Border3.C2.32"
"Border",3,"Border3","Control","C3",32,37,12,6,0,0,1,5,30,13,8,5,0,0,0,10,0,0,0,0,0,0,0,1,0,0,2,0,117,130,0.220193340494092,0.188794153471376,"Border3.C3.32","Border3.C3.32"
"Border",3,"Border3","Control","C4",32,44,0,0,0,0,0,0,5,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,50,55,0.423137876386688,0.414104882459313,"Border3.C4.32","Border3.C4.32"
"Border",3,"Border3","Drought","D1",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border3.D1.32","Border3.D1.32"
"Border",3,"Border3","Drought","D2",32,56,86,5,0,0,0,4,12,1,30,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,203,209,0.499599037690457,0.500429184549356,"Border3.D2.32","Border3.D2.32"
"Border",3,"Border3","Drought","D3",32,80,108,61,0,3,1,12,36,15,54,5,1,0,2,6,0,0,2,0,0,0,0,7,0,0,0,1,375,394,0.58933064921993,0.618996222342148,"Border3.D3.32","Border3.D3.32"
"Border",3,"Border3","Drought","D4",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border3.D4.32","Border3.D4.32"
"Border",3,"Border3","Control","C1",64,2,12,1,0,0,0,1,13,0,1,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,34,40,0.361702127659574,0.372262773722628,"Border3.C1.64","Border3.C1.64"
"Border",3,"Border3","Control","C2",64,8,5,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0.315175097276265,0.289719626168224,"Border3.C2.64","Border3.C2.64"
"Border",3,"Border3","Control","C3",64,8,7,1,1,0,0,0,1,0,1,30,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,49,57,0.324937027707809,0.347305389221557,"Border3.C3.64","Border3.C3.64"
"Border",3,"Border3","Control","C4",64,16,9,0,0,0,0,5,3,0,1,2,2,1,0,6,0,0,0,0,0,0,0,2,0,0,3,0,36,50,0.327913279132791,0.319148936170213,"Border3.C4.64","Border3.C4.64"
"Border",3,"Border3","Drought","D1",64,7,6,5,0,0,0,4,8,2,12,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,51,61,0.380145278450363,0.350877192982456,"Border3.D1.64","Border3.D1.64"
"Border",3,"Border3","Drought","D2",64,2,10,0,0,3,0,1,3,1,1,5,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,26,32,0.326599326599327,0.338842975206612,"Border3.D2.64","Border3.D2.64"
"Border",3,"Border3","Drought","D3",64,12,9,1,0,6,0,4,8,0,9,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,50,57,0.390428211586902,0.396449704142012,"Border3.D3.64","Border3.D3.64"
"Border",3,"Border3","Drought","D4",64,11,15,1,0,1,0,1,8,0,1,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,41,51,0.313672922252011,0.28476821192053,"Border3.D4.64","Border3.D4.64"
"Border",4,"Border4","Control","C1",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.880434782608696,0.863354037267081,"Border4.C1.0","Border4.C1.0"
"Border",4,"Border4","Control","C2",0,27,1,0,0,0,0,0,5,1,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,35,44,0.378048780487805,0.360594795539033,"Border4.C2.0","Border4.C2.0"
"Border",4,"Border4","Control","C3",0,18,0,0,0,1,1,5,8,0,1,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,42,48,0.22093023255814,0.205387205387205,"Border4.C3.0","Border4.C3.0"
"Border",4,"Border4","Control","C4",0,17,2,0,0,2,0,6,5,0,0,12,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,2,44,52,0.244444444444444,0.2,"Border4.C4.0","Border4.C4.0"
"Border",4,"Border4","Drought","D1",0,4,1,0,0,1,0,0,2,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,17,20,0.508620689655172,0.451776649746193,"Border4.D1.0","Border4.D1.0"
"Border",4,"Border4","Drought","D2",0,19,2,0,0,3,0,2,7,2,0,5,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,40,46,0.19047619047619,0.14878892733564,"Border4.D2.0","Border4.D2.0"
"Border",4,"Border4","Drought","D3",0,12,1,3,0,0,2,1,2,0,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0.429487179487179,0.402135231316726,"Border4.D3.0","Border4.D3.0"
"Border",4,"Border4","Drought","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Border4.D4.0","Border4.D4.0"
"Border",4,"Border4","Control","C1",32,45,2,2,0,0,35,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,126,139,0.235467980295567,0.191765980498375,"Border4.C1.32","Border4.C1.32"
"Border",4,"Border4","Control","C2",32,49,0,42,0,1,24,1,0,0,3,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,2,1,122,131,0.269582909460834,0.272326350606395,"Border4.C2.32","Border4.C2.32"
"Border",4,"Border4","Control","C3",32,36,1,0,0,4,34,0,0,0,2,28,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,105,109,0.195530726256983,0.175208581644815,"Border4.C3.32","Border4.C3.32"
"Border",4,"Border4","Control","C4",32,39,2,0,0,0,16,2,0,0,0,7,0,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,66,80,0.283697047496791,0.250366032210835,"Border4.C4.32","Border4.C4.32"
"Border",4,"Border4","Drought","D1",32,61,2,2,0,1,25,1,4,2,1,27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,126,128,0.219361483007209,0.196099674972914,"Border4.D1.32","Border4.D1.32"
"Border",4,"Border4","Drought","D2",32,39,5,57,0,11,16,8,12,1,4,33,1,8,0,4,0,0,0,0,0,0,0,4,0,0,1,2,186,206,0.381137957911146,0.379191745485813,"Border4.D2.32","Border4.D2.32"
"Border",4,"Border4","Drought","D3",32,18,4,31,0,2,38,1,1,0,0,7,0,0,0,4,0,0,0,0,0,0,0,7,0,0,4,1,102,118,0.359828141783029,0.35671100362757,"Border4.D3.32","Border4.D3.32"
"Border",4,"Border4","Drought","D4",32,34,0,1,0,2,22,2,1,2,1,9,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,74,78,0.252918287937743,0.227972027972028,"Border4.D4.32","Border4.D4.32"
"Border",4,"Border4","Control","C1",64,2,1,0,0,3,27,1,2,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1,38,45,0.335714285714286,0.308333333333333,"Border4.C1.64","Border4.C1.64"
"Border",4,"Border4","Control","C2",64,1,3,1,0,1,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,25,0.19,0.16304347826087,"Border4.C2.64","Border4.C2.64"
"Border",4,"Border4","Control","C3",64,1,3,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,14,0.41025641025641,0.367647058823529,"Border4.C3.64","Border4.C3.64"
"Border",4,"Border4","Control","C4",64,3,0,0,0,0,8,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,16,0.402439024390244,0.347222222222222,"Border4.C4.64","Border4.C4.64"
"Border",4,"Border4","Drought","D1",64,0,0,0,0,2,14,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,21,0.304347826086957,0.25,"Border4.D1.64","Border4.D1.64"
"Border",4,"Border4","Drought","D2",64,3,2,0,0,0,4,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,15,0.45,0.442857142857143,"Border4.D2.64","Border4.D2.64"
"Border",4,"Border4","Drought","D3",64,0,0,1,0,0,9,1,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,16,20,0.377777777777778,0.381578947368421,"Border4.D3.64","Border4.D3.64"
"Border",4,"Border4","Drought","D4",64,3,1,1,0,7,21,5,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,43,49,0.391891891891892,0.376923076923077,"Border4.D4.64","Border4.D4.64"
