loc,site,treat,rep,day ,lat,long,utm_north,utm_east,moisture,soil_ph,soil_om,ent,pod,sym,neel,orb_a,orb_j,meso_a,meso_j,prostig,astig,ot_mites,c_lav,dip_lar,hymen,pot,prot,symph,arach,chil,coleop,gast,wood,hemip,cater,dip,thy,earth
bo,1,c,1,0,54.39917,-6.609722,6030567.28,655164.39,57.74,5.29,15.91,4,6,5,0,2,0,3,1,2,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
bo,1,c,2,0,54.39917,-6.609722,6030568.78,655166.39,54.93,5.34,15.16,1,0,1,0,3,1,3,0,0,1,12,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,1
bo,1,c,3,0,54.39917,-6.609722,6030570.28,655166.39,47.5,5.69,14.09,10,0,1,0,0,0,2,1,4,0,53,1,0,1,10,0,0,0,0,0,0,0,0,0,0,9,0
bo,1,c,4,0,54.39917,-6.609722,6030571.78,655164.39,NA,5.43,14.6,4,1,2,0,1,0,1,6,5,1,4,0,1,3,5,0,0,0,0,0,0,0,0,0,0,1,2
bo,2,c,1,0,54.23111,-6.794444,6011481.1,643760,NA,5.73,21.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,2,c,2,0,54.23111,-6.794444,6011482.6,643762,NA,5.92,22.82,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,2,c,3,0,54.23111,-6.794444,6011484.1,643762,NA,5.95,19.16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,2,c,4,0,54.23111,-6.794444,6011485.6,643760,NA,5.77,27.09,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,3,c,1,0,54.26472,-6.491666,6015878.55,663358.67,30.18,5.83,13.52,11,3,8,0,6,0,5,3,4,0,6,2,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0
bo,3,c,2,0,54.26472,-6.491666,6015880.05,663360.67,44.1,5.88,14.2,12,4,2,0,0,0,2,6,2,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,2
bo,3,c,3,0,54.26472,-6.491666,6015881.55,663360.67,43.44,5.99,13.57,67,12,5,0,1,1,13,7,4,0,6,1,0,2,3,0,0,0,0,1,0,0,10,0,0,2,1
bo,3,c,4,0,54.26472,-6.491666,6015883.05,663358.67,NA,5.91,14.82,29,9,1,0,0,1,6,12,6,0,5,1,33,0,2,0,0,0,0,1,0,0,14,0,0,0,2
bo,4,c,1,0,54.19444,-6.488611,6008068.31,663835.78,NA,6.05,32.22,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,4,c,2,0,54.19444,-6.488611,6008069.81,663837.78,NA,6.01,31.61,27,1,0,0,0,0,0,5,1,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,4,c,3,0,54.19444,-6.488611,6008071.31,663837.78,NA,6.1,33.33,18,0,0,0,1,1,5,8,0,1,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,4,c,4,0,54.19444,-6.488611,6008072.81,663835.78,NA,6.14,26.6,17,2,0,0,2,0,6,5,0,0,12,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,2
bo,5,c,1,0,54.15833,-7.004722,6002977.03,630284.5,42.11,5.48,17.2,43,2,12,0,1,1,4,9,1,0,11,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
bo,5,c,2,0,54.15833,-7.004722,6002978.53,630286.5,52.7,5.57,19.29,12,3,20,0,1,5,4,2,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
bo,5,c,3,0,54.15833,-7.004722,6002980.03,630286.5,52.43,5.7,13.35,39,3,22,0,0,2,5,15,3,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
bo,5,c,4,0,54.15833,-7.004722,6002981.53,630284.5,NA,5.82,17.03,60,9,20,0,1,0,2,16,3,0,13,1,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0
co,1,c,1,0,51.76111,-8.460833,5734606.25,537210.68,35.18,5.95,9.16,8,1,21,0,1,1,11,37,59,29,17,0,2,0,1,0,0,1,0,0,0,0,323,0,0,0,0
co,1,c,2,0,51.76111,-8.460833,5734607.75,537212.68,47.73,5.93,7.69,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,1,c,3,0,51.76111,-8.460833,5734609.25,537212.68,43.44,5.86,8.53,2,0,14,0,0,0,2,79,20,84,5,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
co,1,c,4,0,51.76111,-8.460833,5734610.75,537210.68,NA,5.95,16.93,1,0,11,0,1,0,8,29,14,60,0,1,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0
co,2,c,1,0,51.73639,-8.624722,5731786.05,525914.05,NA,5.41,7.33,6,28,10,0,1,0,15,26,2,5,4,0,0,1,2,0,0,0,0,1,0,0,8,0,0,0,0
co,2,c,2,0,51.73639,-8.624722,5731787.55,525916.05,28.93,5.58,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,2,c,3,0,51.73639,-8.624722,5731789.05,525916.05,22.94,5.6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,2,c,4,0,51.73639,-8.624722,5731790.55,525914.05,NA,5.68,12.15,70,12,146,0,0,0,11,79,7,5,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
co,3,c,1,0,51.91818,-8.955555,5751938.96,503056.73,23.6,5.14,5.96,1,0,0,0,1,1,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,3,c,2,0,51.91818,-8.955555,5751940.46,503058.73,NA,5.28,5.34,19,14,2,0,16,13,16,10,6,5,11,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
co,3,c,3,0,51.91818,-8.955555,5751941.96,503058.73,NA,5.24,4.92,25,12,1,0,44,32,6,5,6,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
co,3,c,4,0,51.91818,-8.955555,5751943.46,503056.73,NA,5.41,9.13,65,14,3,0,32,22,8,5,3,263,62,0,0,1,9,0,0,0,0,3,0,0,0,0,0,0,0
co,4,c,1,0,52.03065,-9.079933,5764450.22,494516.3,44.6,5.4,14.97,15,10,27,0,0,0,8,33,14,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1
co,4,c,2,0,52.03065,-9.079933,5764451.72,494518.3,47.92,5.49,11.53,12,26,16,0,0,1,3,14,15,0,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
co,4,c,3,0,52.03065,-9.079933,5764453.22,494518.3,44.58,5.37,11.86,16,4,5,0,0,1,2,10,2,0,2,0,1,0,0,0,0,0,0,1,0,0,21,0,0,0,1
co,4,c,4,0,52.03065,-9.079933,5764454.72,494516.3,NA,5.78,15.05,11,18,3,0,1,0,3,8,30,20,44,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
co,5,c,1,0,52.12233,-9.050161,5774645.43,496565.81,42.4,5.48,14.54,115,7,11,0,2,0,2,16,2,2,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
co,5,c,2,0,52.12233,-9.050161,5774646.93,496567.81,44.34,5.33,9.47,20,11,2,0,0,0,1,13,6,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
co,5,c,3,0,52.12233,-9.050161,5774648.43,496567.81,44.45,5.44,10.47,35,14,5,0,0,0,1,0,3,4,1,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
co,5,c,4,0,52.12233,-9.050161,5774649.93,496565.81,NA,5.55,9.8,69,7,24,0,1,0,7,34,7,5,31,2,0,1,4,0,0,0,0,2,0,0,0,0,0,3,0
du,1,c,1,0,53.595,-6.405555,5941592.26,671693.79,27.17,5.81,6.96,34,4,11,0,0,1,1,8,3,15,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
du,1,c,2,0,53.595,-6.405555,5941593.76,671695.79,31.95,5.83,9.18,52,1,16,0,0,1,6,23,5,13,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
du,1,c,3,0,53.595,-6.405555,5941595.26,671695.79,28.08,7.88,4.16,107,1,29,0,3,12,7,23,20,7,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1
du,1,c,4,0,53.595,-6.405555,5941596.76,671693.79,NA,7.28,4.2,166,10,106,0,21,20,0,0,2,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0
du,2,c,1,0,53.56806,-6.416666,5938569.26,671067.43,29.37,6.15,9.72,3,2,8,0,0,0,12,7,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
du,2,c,2,0,53.56806,-6.416666,5938570.76,671069.43,28.31,6.06,9.54,122,4,37,0,3,1,13,11,7,1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
du,2,c,3,0,53.56806,-6.416666,5938572.26,671069.43,26.71,6.07,8.51,8,7,26,0,2,0,2,15,12,2,1,0,0,3,6,0,0,0,0,0,0,0,10,0,0,7,0
du,2,c,4,0,53.56806,-6.416666,5938573.76,671067.43,NA,5.91,12.28,25,16,34,0,1,0,7,13,16,4,5,1,1,0,0,0,0,0,0,0,0,0,12,0,0,6,1
du,3,c,1,0,53.63639,-6.711666,5945500.92,651291.43,55.08,5.47,15.54,11,1,29,0,1,0,2,14,5,5,4,2,1,1,1,0,0,0,0,1,0,0,2,0,0,2,4
du,3,c,2,0,53.63639,-6.711666,5945502.42,651293.43,54.64,5.62,13.77,8,0,25,0,3,0,3,11,5,2,2,0,0,3,3,0,0,1,0,0,0,0,0,0,0,2,0
du,3,c,3,0,53.63639,-6.711666,5945503.92,651293.43,42.43,5.83,10.14,25,0,27,0,0,0,3,9,9,1,5,3,0,2,2,0,0,1,0,0,0,0,1,0,0,9,3
du,3,c,4,0,53.63639,-6.711666,5945505.42,651291.43,NA,5.76,12.57,38,2,30,0,1,0,5,28,10,6,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,2,0
du,4,c,1,0,53.59639,-6.726388,5941020.61,650460.46,47.97,5.97,13.15,41,0,18,0,1,1,9,9,5,4,3,1,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0
du,4,c,2,0,53.59639,-6.726388,5941022.11,650462.46,42.26,5.76,12,29,3,9,0,0,0,6,13,10,5,6,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
du,4,c,3,0,53.59639,-6.726388,5941023.61,650462.46,33.31,5.88,13.55,75,2,18,0,1,3,12,20,37,2,16,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1
du,4,c,4,0,53.59639,-6.726388,5941025.11,650460.46,NA,6.06,12.13,118,1,35,0,1,2,6,1,10,21,12,2,0,0,1,0,0,0,0,0,0,0,3,0,0,4,1
du,5,c,1,0,53.4675,-6.936666,5926260.06,636962.16,63.54,6.28,39.52,47,0,1,0,0,0,2,11,8,1,4,0,3,4,3,0,0,0,0,0,0,0,2,0,0,0,1
du,5,c,2,0,53.4675,-6.936666,5926261.56,636964.16,70.65,6.25,42.71,5,4,1,0,1,1,3,8,4,1,4,0,1,3,2,0,1,0,0,0,0,0,9,0,0,0,0
du,5,c,3,0,53.4675,-6.936666,5926263.06,636964.16,63.38,6.25,26.04,4,1,4,0,1,0,0,3,2,2,4,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
du,5,c,4,0,53.4675,-6.936666,5926264.56,636962.16,NA,6.69,28.8,7,11,9,0,2,3,4,10,4,1,28,0,4,5,5,0,0,0,0,0,0,0,3,0,0,0,1
li,1,c,1,0,52.8021,-8.461277,5850392.16,536318.85,47.75,5.73,14.23,84,6,25,0,1,4,1,31,2,1,5,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,6
li,1,c,2,0,52.8021,-8.461277,5850393.66,536320.85,52.68,5.89,16.01,78,68,58,0,6,10,14,49,3,10,11,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,3
li,1,c,3,0,52.8021,-8.461277,5850395.16,536320.85,49.73,6.05,13.17,1,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
li,1,c,4,0,52.8021,-8.461277,5850396.66,536318.85,NA,5.72,14.85,84,64,24,0,3,17,25,43,6,2,17,1,0,1,5,0,0,0,0,0,0,0,2,0,0,0,1
li,2,c,1,0,52.57833,-8.188055,5825674.51,555018.83,NA,5.36,8.89,79,10,32,0,1,6,2,4,16,1,17,1,0,2,7,0,0,0,0,0,0,0,4,0,0,0,1
li,2,c,2,0,52.57833,-8.188055,5825676.01,555020.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
li,2,c,3,0,52.57833,-8.188055,5825677.51,555020.83,NA,5.38,11.75,65,16,1,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
li,2,c,4,0,52.57833,-8.188055,5825679.01,555018.83,NA,5.36,9.36,20,4,3,0,0,5,4,34,9,0,18,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1
li,3,c,1,0,52.7503,-8.354259,5844689.56,543585.27,67.38,5.7,16.6,15,4,4,0,0,1,1,5,1,0,22,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
li,3,c,2,0,52.7503,-8.354259,5844691.06,543587.27,59.5,5.67,17.8,32,41,24,0,1,12,7,18,12,0,16,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4
li,3,c,3,0,52.7503,-8.354259,5844692.56,543587.27,66.48,5.7,15.49,106,17,7,0,0,23,11,10,3,0,20,1,1,0,7,0,0,0,0,0,0,0,1,0,0,2,0
li,3,c,4,0,52.7503,-8.354259,5844694.06,543585.27,NA,5.55,14.85,46,19,9,0,1,10,7,8,8,0,29,0,1,2,4,0,0,0,0,0,0,0,0,0,0,4,0
li,4,c,1,0,52.71528,-7.918055,5841147.6,573085.33,18.32,5.4,26.39,28,10,5,7,7,10,0,1,13,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
li,4,c,2,0,52.71528,-7.918055,5841149.1,573087.33,63.34,5.47,26.35,30,4,13,0,13,14,6,31,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
li,4,c,3,0,52.71528,-7.918055,5841150.6,573087.33,63.57,5.65,23.8,44,10,19,0,11,12,8,15,13,0,21,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0
li,4,c,4,0,52.71528,-7.918055,5841152.1,573085.33,NA,5.32,25.6,105,8,3,0,27,29,7,9,15,6,7,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1
li,5,c,1,0,52.83305,-8.235725,5853972.64,551488,44.22,5.53,9.34,57,11,4,0,0,0,3,17,2,1,2,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
li,5,c,2,0,52.83305,-8.235725,5853974.14,551490,33.85,5.4,10.72,0,0,0,0,0,0,6,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
li,5,c,3,0,52.83305,-8.235725,5853975.64,551490,42.83,5.29,11.11,21,11,25,1,0,0,33,31,10,7,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1
li,5,c,4,0,52.83305,-8.235725,5853977.14,551488,NA,5.72,11.07,47,9,29,0,0,0,8,50,24,0,0,1,0,0,9,0,0,1,1,1,0,0,0,0,0,0,1
bo,1,d,1,0,54.39917,-6.609722,6030567.28,655166.39,14.25,5.16,17.17,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,1,d,2,0,54.39917,-6.609722,6030568.78,655164.39,18.22,5.37,15.81,1,0,0,0,4,0,4,0,2,4,4,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0
bo,1,d,3,0,54.39917,-6.609722,6030570.28,655164.39,17.95,5.52,15.97,0,0,0,0,0,0,4,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
bo,1,d,4,0,54.39917,-6.609722,6030571.78,655166.39,NA,5.5,16.14,2,1,0,0,2,1,1,0,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
bo,2,d,1,0,54.23111,-6.794444,6011481.1,643762,NA,5.69,20.2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,2,d,2,0,54.23111,-6.794444,6011482.6,643760,NA,5.75,24.74,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,2,d,3,0,54.23111,-6.794444,6011484.1,643760,NA,5.85,21.63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,2,d,4,0,54.23111,-6.794444,6011485.6,643762,NA,5.88,26.53,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,3,d,1,0,54.26472,-6.491666,6015878.55,663360.67,56.43,5.85,18.42,4,11,0,0,1,0,9,19,35,87,10,2,0,0,0,0,0,1,0,3,0,0,2,0,1,2,0
bo,3,d,2,0,54.26472,-6.491666,6015880.05,663358.67,16.59,6.09,14.77,0,9,1,0,0,0,0,13,13,40,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
bo,3,d,3,0,54.26472,-6.491666,6015881.55,663358.67,24.74,5.76,17.69,8,0,1,0,0,0,6,17,24,14,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bo,3,d,4,0,54.26472,-6.491666,6015883.05,663360.67,NA,5.97,13.78,0,8,0,0,0,3,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bo,4,d,1,0,54.19444,-6.488611,6008068.31,663837.78,NA,6.09,28.6,4,1,0,0,1,0,0,2,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
bo,4,d,2,0,54.19444,-6.488611,6008069.81,663835.78,NA,5.91,28.17,19,2,0,0,3,0,2,7,2,0,5,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
bo,4,d,3,0,54.19444,-6.488611,6008071.31,663835.78,NA,5.91,29.2,12,1,3,0,0,2,1,2,0,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,4,d,4,0,54.19444,-6.488611,6008072.81,663837.78,NA,6,29.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,5,d,1,0,54.15833,-7.004722,6002977.03,630286.5,18.17,5.49,15.13,3,10,23,0,1,0,5,2,6,22,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,5,d,2,0,54.15833,-7.004722,6002978.53,630284.5,11.97,5.5,12.48,9,7,12,0,3,0,4,5,3,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,5,d,3,0,54.15833,-7.004722,6002980.03,630284.5,24.05,5.52,12.67,2,3,46,0,1,0,1,5,3,16,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
bo,5,d,4,0,54.15833,-7.004722,6002981.53,630286.5,NA,5.8,15.34,14,9,1,0,4,3,5,1,9,30,20,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0
co,1,d,1,0,51.76111,-8.460833,5734606.25,537212.68,43.75,5.93,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,1,d,2,0,51.76111,-8.460833,5734607.75,537210.68,18.89,5.7,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,1,d,3,0,51.76111,-8.460833,5734609.25,537210.68,17.89,5.73,6.96,0,3,19,0,0,0,0,4,14,194,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
co,1,d,4,0,51.76111,-8.460833,5734610.75,537212.68,NA,5.71,6.36,0,4,16,0,0,0,0,8,7,104,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
co,2,d,1,0,51.73639,-8.624722,5731786.05,525916.05,10.33,5.71,11.4,10,4,7,0,0,0,7,30,2,74,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
co,2,d,2,0,51.73639,-8.624722,5731787.55,525914.05,15.91,5.91,8.76,3,4,23,0,0,0,0,16,2,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
co,2,d,3,0,51.73639,-8.624722,5731789.05,525914.05,14.49,5.9,10.98,13,10,12,0,0,0,9,5,10,44,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
co,2,d,4,0,51.73639,-8.624722,5731790.55,525916.05,NA,5.94,12.15,7,6,7,0,0,0,3,21,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,3,d,1,0,51.91818,-8.955555,5751938.96,503058.73,NA,5.44,7.91,9,0,0,0,11,3,1,4,5,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
co,3,d,2,0,51.91818,-8.955555,5751940.46,503056.73,20.73,5.46,9.68,4,0,0,0,19,8,1,3,9,21,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
co,3,d,3,0,51.91818,-8.955555,5751941.96,503056.73,26.69,5.28,6.3,3,2,0,0,5,3,5,10,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
co,3,d,4,0,51.91818,-8.955555,5751943.46,503058.73,NA,5.66,3.79,20,1,0,0,117,27,7,25,2,30,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
co,4,d,1,0,52.03065,-9.079933,5764450.22,494518.3,53.23,5.43,13.32,4,23,74,0,0,0,1,2,21,4,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
co,4,d,2,0,52.03065,-9.079933,5764451.72,494516.3,9.38,5.65,13.2,2,6,0,0,0,0,0,4,27,15,75,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0
co,4,d,3,0,52.03065,-9.079933,5764453.22,494516.3,31.68,5.7,11.8,7,16,6,0,0,0,3,1,3,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,4,d,4,0,52.03065,-9.079933,5764454.72,494518.3,NA,6,17.73,12,11,0,0,0,0,0,0,1,5,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
co,5,d,1,0,52.12233,-9.050161,5774645.43,496567.81,25.52,5.53,9.09,3,7,166,0,2,1,5,9,26,13,40,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2
co,5,d,2,0,52.12233,-9.050161,5774646.93,496565.81,26.45,5.52,9.16,9,5,4,0,5,0,1,7,14,9,39,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
co,5,d,3,0,52.12233,-9.050161,5774648.43,496565.81,21.54,5.58,9.18,6,0,17,0,1,0,0,36,7,0,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0
co,5,d,4,0,52.12233,-9.050161,5774649.93,496567.81,NA,5.47,10.16,6,6,4,0,1,0,1,2,4,3,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
